order_id,latitude,longitude
ORD-001,28.629948,77.193159
ORD-002,28.691346,77.143248
ORD-003,28.592124,77.277761
ORD-004,28.723747,77.309428
ORD-005,28.628929,77.213543
ORD-006,28.712047,77.302819
ORD-007,28.679207,77.203234
ORD-008,28.672436,77.21639
ORD-009,28.715657,77.298489
ORD-010,28.680705,77.254426
ORD-011,28.606409,77.170609
ORD-012,28.722685,77.298475
ORD-013,28.583754,77.243456
ORD-014,28.746628,77.157335
ORD-015,28.701217,77.148893
ORD-016,28.674559,77.293163
ORD-017,28.75686,77.179599
ORD-018,28.560164,77.18735
ORD-019,28.606273,77.126584
ORD-020,28.597357,77.30296
ORD-021,28.676999,77.244112
ORD-022,28.668303,77.280498
ORD-023,28.60725,77.24665
ORD-024,28.554349,77.306421
ORD-025,28.71531,77.181176
ORD-026,28.620879,77.139365
ORD-027,28.640813,77.173411
ORD-028,28.568686,77.178641
ORD-029,28.754063,77.254475
ORD-030,28.544504,77.144312
ORD-031,28.579144,77.139319
ORD-032,28.57716,77.209037
ORD-033,28.663044,77.139147
ORD-034,28.592415,77.277963
ORD-035,28.656462,77.197982
ORD-036,28.70381,77.286223
ORD-037,28.563017,77.201834
ORD-038,28.598343,77.193357
ORD-039,28.708563,77.298824
ORD-040,28.620359,77.266609
ORD-041,28.591041,77.187499
ORD-042,28.632246,77.167452
ORD-043,28.728201,77.221559
ORD-044,28.679014,77.293467
ORD-045,28.641882,77.213928
ORD-046,28.717495,77.165684
ORD-047,28.736863,77.308087
ORD-048,28.669424,77.280521
ORD-049,28.621904,77.177395
ORD-050,28.623884,77.17583
