timestamp,location,sensor,value
2023-12-31T20:13:00.000Z,zone-a,humidity,60.1
2023-12-31T22:41:00.000Z,zone-d,humidity,73.5
2024-01-01T00:11:00.000Z,zone-b,light,735
2024-01-01T03:24:00.000Z,zone-b,pressure,1006.7
2024-01-01T06:19:00.000Z,zone-b,humidity,55.8
2024-01-01T10:44:00.000Z,zone-c,humidity,47.1
2024-01-01T14:47:00.000Z,zone-d,temperature,33.3
2024-01-01T15:24:00.000Z,zone-d,pressure,1014.6
2024-01-01T15:51:00.000Z,zone-b,temperature,34.5
2024-01-01T16:28:00.000Z,zone-c,light,100.1
2024-01-01T17:09:00.000Z,zone-a,temperature,31.1
2024-01-01T17:15:00.000Z,zone-c,temperature,32.2
2024-01-01T18:16:00.000Z,zone-c,pressure,1012.4
2024-01-01T18:19:00.000Z,zone-a,light,233.1
2024-01-01T18:20:00.000Z,zone-a,pressure,1009.7
2024-01-01T18:24:00.000Z,zone-d,light,399.3
2024-01-01T19:06:00.000Z,zone-d,light,813.2
2024-01-01T19:29:00.000Z,zone-d,pressure,1010
2024-01-01T19:45:00.000Z,zone-c,light,326.6
2024-01-01T20:20:00.000Z,zone-b,temperature,15.2
2024-01-01T20:44:00.000Z,zone-b,light,260.4
2024-01-01T21:09:00.000Z,zone-b,pressure,992.9
2024-01-01T21:54:00.000Z,zone-c,pressure,993.9
2024-01-01T23:10:00.000Z,zone-b,humidity,39.1
2024-01-01T23:33:00.000Z,zone-a,pressure,1006.1
2024-01-02T00:01:00.000Z,zone-d,humidity,39.3
2024-01-02T04:15:00.000Z,zone-c,humidity,30.4
2024-01-02T05:56:00.000Z,zone-a,humidity,31.8
2024-01-02T09:00:00.000Z,zone-a,light,504.6
2024-01-02T09:34:00.000Z,zone-d,temperature,17.7
2024-01-02T10:55:00.000Z,zone-c,temperature,35
2024-01-02T12:40:00.000Z,zone-a,temperature,20.3
2024-01-02T19:02:00.000Z,zone-d,light,318.4
2024-01-02T19:51:00.000Z,zone-b,light,147.4
2024-01-02T20:23:00.000Z,zone-c,humidity,40.6
2024-01-02T21:08:00.000Z,zone-c,temperature,21.3
2024-01-02T21:38:00.000Z,zone-d,pressure,1007.9
2024-01-02T23:08:00.000Z,zone-a,light,579.4
2024-01-03T01:23:00.000Z,zone-b,temperature,21.3
2024-01-03T01:25:00.000Z,zone-a,pressure,1004.7
2024-01-03T01:58:00.000Z,zone-c,pressure,1014.2
2024-01-03T02:12:00.000Z,zone-d,temperature,30.1
2024-01-03T04:35:00.000Z,zone-b,humidity,67.6
2024-01-03T06:16:00.000Z,zone-a,temperature,15.6
2024-01-03T11:24:00.000Z,zone-a,humidity,68.1
2024-01-03T12:27:00.000Z,zone-d,humidity,49
2024-01-03T15:07:00.000Z,zone-b,pressure,995
2024-01-03T15:16:00.000Z,zone-c,light,403
2024-01-03T18:43:00.000Z,zone-a,humidity,40.2
2024-01-03T19:36:00.000Z,zone-d,light,221.3
2024-01-03T20:51:00.000Z,zone-d,temperature,19.3
2024-01-03T22:09:00.000Z,zone-a,light,679.9
2024-01-03T22:48:00.000Z,zone-a,temperature,15.1
2024-01-04T00:37:00.000Z,zone-b,temperature,30.5
2024-01-04T10:09:00.000Z,zone-c,temperature,33.5
2024-01-04T10:17:00.000Z,zone-a,pressure,995.8
2024-01-04T11:01:00.000Z,zone-d,pressure,1013.4
2024-01-04T11:49:00.000Z,zone-b,pressure,1009.4
2024-01-04T12:39:00.000Z,zone-c,pressure,1009.3
2024-01-04T13:26:00.000Z,zone-b,humidity,37.8
2024-01-04T15:36:00.000Z,zone-c,humidity,72
2024-01-04T15:40:00.000Z,zone-d,humidity,57.3
2024-01-04T17:46:00.000Z,zone-c,light,726
2024-01-04T18:25:00.000Z,zone-b,light,342.9
2024-01-04T19:17:00.000Z,zone-c,humidity,59
2024-01-04T19:22:00.000Z,zone-c,light,736.9
2024-01-04T21:07:00.000Z,zone-c,pressure,996.2
2024-01-04T21:13:00.000Z,zone-d,pressure,1008.9
2024-01-04T22:52:00.000Z,zone-d,light,736
2024-01-04T22:53:00.000Z,zone-a,pressure,1013.8
2024-01-05T00:15:00.000Z,zone-b,humidity,61
2024-01-05T03:59:00.000Z,zone-b,temperature,26.5
2024-01-05T05:58:00.000Z,zone-d,temperature,15.4
2024-01-05T06:14:00.000Z,zone-b,pressure,998
2024-01-05T07:19:00.000Z,zone-a,humidity,47.2
2024-01-05T09:45:00.000Z,zone-a,light,863.1
2024-01-05T10:46:00.000Z,zone-b,light,410.7
2024-01-05T14:21:00.000Z,zone-c,temperature,30.1
2024-01-05T15:36:00.000Z,zone-d,humidity,64
2024-01-05T15:57:00.000Z,zone-a,temperature,27
2024-01-05T18:44:00.000Z,zone-b,light,346.7
2024-01-05T19:09:00.000Z,zone-b,temperature,16.5
2024-01-05T21:03:00.000Z,zone-c,pressure,1008.3
2024-01-05T23:23:00.000Z,zone-d,pressure,1009
2024-01-06T00:08:00.000Z,zone-c,humidity,52.4
2024-01-06T02:15:00.000Z,zone-a,pressure,1013.5
